11.0,0.0,11.0,0.0,2.0,2.0,2.0,1.0,9.0,0.0,1.0,32.0,32.0,29.0,32.0,8.0,0.0,3.0,21.0,476.0,56.0,380.0,146.0,197.0,40.0,186.0,250.0,129.0,143.0,8.0,8.0,8.0,0.11,58.0,58.0,61.0,34.0,0.0,14.0,4.071428571428571,0.0,20.0,4.357142857142857,1.0,14.0,2.2142857142857144,0.0,4.0,0.6071428571428571,1.2222222222222223,12.88888888888889,0.0,1.7777777777777777,16.666666666666668,159.0,110.0,8.0,0.0,10.0,5.0,5.0,5912985.285714285,4598944.333333333,1.0,1.0,3.0,5.0,0.0
12.0,0.0,11.0,0.0,3.0,1.0,3.0,1.0,1.0,14.0,0.0,18.0,4.0,1.0,18.0,18.0,0.0,0.0,0.0,276.0,29.0,223.0,60.0,154.0,24.0,123.0,149.0,56.0,108.0,23.0,6.0,23.0,0.11,46.0,26.0,46.0,18.0,2.0,36.0,9.444444444444445,1.0,22.0,4.888888888888889,1.0,19.0,2.3333333333333335,0.0,2.0,0.2777777777777778,1.0,21.0,0.0,1.0,72.0,135.0,50.0,10.0,0.0,11.0,6.0,6.0,4555676.0,4007974.9,1.0,1.0,4.0,6.0,0.0
17.0,1.0,14.0,2.0,3.0,3.0,4.0,1.0,7.0,2.0,2.0,34.0,32.0,24.0,34.0,9.0,8.0,2.0,15.0,733.0,98.0,555.0,219.0,329.0,80.0,294.0,432.0,220.0,279.0,14.0,14.0,14.0,0.14,117.0,117.0,125.0,40.0,2.0,25.0,6.15,2.0,40.0,8.85,1.0,780.0,47.35,0.0,4.0,1.4,1.0,14.428571428571429,0.0,1.2857142857142858,26.142857142857142,248.0,68.0,11.0,0.0,12.0,6.0,6.0,4100104.6,3643610.090909091,1.0,1.0,6.0,5.0,0.0
10.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,350.0,53.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,11.0,15.0,0.24,58.0,58.0,71.0,32.0,0.0,134.0,9.181818181818182,1.0,23.0,4.636363636363637,1.0,27.0,3.4242424242424243,0.0,4.0,0.7878787878787878,2.0,9.0,0.5,1.5,77.5,145.0,62.0,6.0,1.0,8.0,5.0,5.0,7658978.2,5470627.714285715,1.0,1.0,3.0,3.0,3.0
15.0,1.0,14.0,2.0,1.0,1.0,1.0,1.0,7.0,0.0,6.0,7.0,15.0,13.0,15.0,3.0,0.0,0.0,12.0,227.0,27.0,178.0,68.0,118.0,37.0,109.0,128.0,62.0,89.0,8.0,6.0,8.0,0.21,19.0,17.0,19.0,10.0,2.0,24.0,8.833333333333334,1.0,26.0,10.333333333333334,1.0,12.0,3.6666666666666665,0.0,2.0,0.8333333333333334,1.6666666666666667,16.333333333333332,0.0,1.0,20.0,466.0,203.0,15.0,2.0,17.0,8.0,8.0,2683459.714285714,2348025.125,2.0,2.0,5.0,10.0,3.0
7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,6.0,3.0,6.0,36.0,35.0,5.0,38.0,1.0,2.0,0.0,35.0,387.0,64.0,297.0,104.0,144.0,29.0,139.0,207.0,91.0,124.0,5.0,5.0,7.0,0.1,61.0,61.0,63.0,48.0,0.0,8.0,2.5,1.0,9.0,2.6875,1.0,7.0,1.875,0.0,3.0,0.5625,2.2,9.6,0.0,1.4,14.2,6.0,6.0,2.0,0.0,2.0,2.0,2.0,281.0,281.0,nan,nan,2.0,0.0,0.0
38.0,3.0,32.0,3.0,7.0,7.0,7.0,3.0,1.0,2.0,0.0,12.0,10.0,1.0,12.0,0.0,4.0,3.0,5.0,515.0,52.0,395.0,155.0,236.0,69.0,193.0,282.0,137.0,205.0,26.0,26.0,29.0,0.17,75.0,75.0,82.0,38.0,0.0,10.0,4.4,1.0,49.0,13.4,0.0,834.0,106.5,0.0,6.0,3.1,2.0,40.0,2.0,1.0,73.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,782432.0,782432.0,nan,nan,0.0,2.0,0.0
4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,8.0,5.0,8.0,0.0,0.0,0.0,8.0,80.0,14.0,44.0,23.0,12.0,22.0,26.0,35.0,23.0,12.0,1.0,1.0,1.0,0.5,8.0,8.0,8.0,8.0,1.0,8.0,4.714285714285714,1.0,2.0,1.2857142857142858,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,70.0,20.0,1.0,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,1.0,0.0
21.0,1.0,16.0,4.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,10.0,10.0,16.0,10.0,0.0,2.0,4.0,4.0,284.0,21.0,197.0,66.0,116.0,66.0,105.0,138.0,59.0,92.0,9.0,9.0,10.0,0.34,31.0,31.0,34.0,10.0,4.0,13.0,6.5,3.0,29.0,9.5,1.0,15.0,4.625,0.0,5.0,1.75,2.0,18.0,2.0,2.0,77.0,56.0,18.0,5.0,2.0,7.0,4.0,4.0,1983255.5,1322164.6666666667,1.0,1.0,3.0,2.0,4.0
12.0,1.0,11.0,1.0,3.0,3.0,3.0,2.0,9.0,0.0,1.0,26.0,26.0,14.0,26.0,7.0,1.0,1.0,17.0,429.0,56.0,296.0,86.0,156.0,77.0,139.0,217.0,92.0,127.0,24.0,24.0,24.0,0.26,68.0,68.0,68.0,39.0,0.0,18.0,3.611111111111111,1.0,15.0,2.611111111111111,0.0,108.0,7.944444444444445,0.0,5.0,0.9444444444444444,1.7142857142857142,5.142857142857143,0.2857142857142857,1.1428571428571428,12.857142857142858,273.0,65.0,3.0,1.0,3.0,2.0,2.0,3368441.0,3368441.0,nan,nan,2.0,1.0,3.0
